Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Bitcoin,BTC,22454.53,0.5%,-3.4%,-6.2%,34324594228.0,433530287493.0,471545109000.0
Ethereum,ETH,1579.01,0.8%,-2.7%,-4.4%,10812036299.0,190290597506.0,190290597506.0
Tether,USDT,1.0,0.1%,0.3%,0.2%,44054732627.0,71287196015.0,71287196015.0
BNB,BNB,290.53,0.6%,-2.4%,-5.8%,666504401.0,45837263089.0,58060350433.0
USD Coin,USDC,1.0,0.1%,0.2%,0.1%,3989224459.0,43223943982.0,43220363744.0
XRP,XRP,0.370062,0.3%,-1.7%,-5.0%,1277912112.0,18866902718.0,37029567531.0
OKB,OKB,49.65,1.1%,-0.5%,-4.8%,57252511.0,12245481278.0,14894825111.0
Cardano,ADA,0.34059,0.9%,-2.9%,-11.2%,412448203.0,11940370469.0,15332182957.0
Polygon,MATIC,1.17,1.0%,-2.3%,-13.4%,671891074.0,10630433774.0,11745726871.0
Dogecoin,DOGE,0.07659,0.7%,-4.5%,-9.2%,661294488.0,10599421983.0,0.0
Binance USD,BUSD,1.0,0.3%,0.4%,0.1%,8985938526.0,9641335988.0,9641335988.0
Lido Staked Ether,STETH,1578.5,0.8%,-2.7%,-4.2%,17991308.0,8997699755.0,8997699755.0
Solana,SOL,21.41,1.5%,-1.6%,-10.5%,490182762.0,8111847719.0,11603074514.0
Polkadot,DOT,6.08,0.7%,-2.7%,-14.3%,308348717.0,7344158711.0,7836255890.0
Shiba Inu,SHIB,1.141e-05,0.9%,-4.0%,-13.4%,345753503.0,6731674134.0,0.0
Litecoin,LTC,89.43,0.7%,-5.7%,-5.6%,735168095.0,6477662112.0,7515417514.0
TRON,TRX,0.067778,0.3%,-2.0%,-2.8%,324574142.0,6199561772.0,6199607813.0
Avalanche,AVAX,16.62,1.0%,-3.3%,-15.7%,198749471.0,5397750303.0,11965347121.0
Dai,DAI,1.0,0.1%,0.1%,0.1%,188158536.0,5039863219.0,5039863219.0
Uniswap,UNI,6.27,0.9%,-5.3%,-9.6%,89220596.0,4730813688.0,6276230954.0
Toncoin,TON,2.39,0.1%,-2.7%,-2.8%,27723062.0,3516749548.0,12069477414.0
Cosmos Hub,ATOM,12.01,0.7%,-1.6%,-12.6%,131929568.0,3513957683.0,0.0
Wrapped Bitcoin,WBTC,22462.28,0.6%,-3.5%,-6.0%,196523753.0,3440098074.0,3440098074.0
Chainlink,LINK,6.95,1.2%,-3.4%,-12.6%,368685524.0,3414440331.0,6945566580.0
LEO Token,LEO,3.35,0.3%,0.5%,0.2%,501060.0,3113005916.0,0.0
Ethereum Classic,ETC,20.06,1.1%,-2.7%,-9.5%,169975559.0,2803367333.0,4227293379.0
Monero,XMR,146.14,0.8%,-3.2%,-3.7%,93238038.0,2651384224.0,0.0
Lido DAO,LDO,3.02,1.6%,5.6%,2.0%,231860123.0,2573474862.0,3032020280.0
Filecoin,FIL,6.32,1.6%,-6.2%,-19.7%,436631680.0,2504375937.0,12440244391.0
Bitcoin Cash,BCH,125.99,0.8%,-4.0%,-9.3%,476355259.0,2437344709.0,2648319638.0
Stellar,XLM,0.085129,0.3%,-1.8%,-6.7%,75861360.0,2250833638.0,4258303893.0
Aptos,APT,11.87,0.9%,-6.5%,-11.9%,318713553.0,2028052542.0,12146743047.0
Cronos,CRO,0.073473,0.7%,-4.2%,-11.3%,21343687.0,1855337659.0,0.0
VeChain,VET,0.02552829,1.1%,-4.4%,-14.2%,97635769.0,1850648037.0,2213102050.0
NEAR Protocol,NEAR,2.14,1.0%,-3.6%,-13.5%,134642263.0,1849404658.0,2139316122.0
Hedera,HBAR,0.065958,1.1%,-2.4%,-18.4%,55125132.0,1842070443.0,3292983422.0
ApeCoin,APE,4.89,0.6%,-1.2%,-10.4%,156555858.0,1803616637.0,4893237166.0
Quant,QNT,123.94,0.8%,-1.2%,-8.0%,27555800.0,1803239756.0,1811708106.0
Algorand,ALGO,0.234289,0.7%,-3.0%,-12.9%,85737828.0,1668631849.0,2344173753.0
Internet Computer,ICP,5.59,1.4%,-3.5%,-16.1%,66842103.0,1638777774.0,2635271478.0
EOS,EOS,1.26,-0.0%,5.7%,6.9%,379538320.0,1384826134.0,0.0
The Graph,GRT,0.148722,1.0%,-2.1%,-7.9%,109574558.0,1314104142.0,1488290766.0
Fantom,FTM,0.431007,2.0%,-1.3%,-12.5%,356920740.0,1196179208.0,1367925981.0
Stacks,STX,0.849161,3.7%,-6.5%,3.5%,116923121.0,1176539832.0,1566745476.0
TrueUSD,TUSD,1.0,0.1%,0.2%,0.1%,56285269.0,1164157123.0,0.0
The Sandbox,SAND,0.642733,1.0%,-5.2%,-15.8%,251482546.0,1160042054.0,1930580564.0
Flow,FLOW,1.07,0.6%,-4.7%,-11.7%,30980538.0,1112630637.0,1522562699.0
Decentraland,MANA,0.604116,1.1%,-3.6%,-14.1%,108101554.0,1101225648.0,1325279625.0
MultiversX,EGLD,43.92,0.5%,-4.5%,-12.7%,55875302.0,1101086698.0,1379496223.0
Aave,AAVE,76.91,1.3%,-2.3%,-10.1%,75432523.0,1098471489.0,1229984832.0
Theta Network,THETA,1.07,1.3%,-6.4%,-10.6%,38828666.0,1067395453.0,1067395453.0
Axie Infinity,AXS,9.07,0.9%,-5.7%,-13.9%,73192081.0,1050707399.0,2455203214.0
Frax,FRAX,0.999536,0.4%,-0.0%,0.6%,14756205.0,1044267933.0,1044267933.0
Tezos,XTZ,1.12,1.0%,-2.2%,-17.2%,43194257.0,1030199390.0,0.0
Terra Luna Classic,LUNC,0.00015264,1.1%,-10.9%,-6.6%,158327955.0,901704149.0,1047117553.0
Synthetix Network,SNX,2.86,2.6%,-0.3%,8.7%,113502489.0,895999953.0,898062126.0
ImmutableX,IMX,1.05,1.9%,9.7%,0.9%,59169398.0,893537360.0,2104043025.0
Maker,MKR,921.91,0.1%,4.1%,24.6%,93968120.0,831506698.0,927697610.0
NEO,NEO,11.61,1.0%,-3.5%,-9.5%,63112349.0,819372826.0,0.0
KuCoin,KCS,8.65,3.3%,-2.7%,-1.1%,1418469.0,817908610.0,0.0
Huobi,HT,4.99,0.3%,-3.2%,-7.8%,16625301.0,808893816.0,1016398026.0
Rocket Pool,RPL,41.71,0.1%,-3.0%,-16.6%,10659042.0,798331491.0,0.0
Pax Dollar,USDP,1.0,-0.2%,0.1%,0.2%,929631.0,794678652.0,794678652.0
Frax Share,FXS,10.4,1.4%,-6.5%,-4.8%,53159069.0,774716101.0,1040192850.0
Dash,DASH,69.13,1.2%,-3.5%,-2.8%,140868543.0,772190755.0,0.0
Mina Protocol,MINA,0.899434,1.5%,-4.4%,-9.3%,85809314.0,769888798.0,907296198.0
Bitcoin SV,BSV,38.83,0.7%,-7.7%,-10.1%,87494187.0,750462201.0,818002882.0
Klaytn,KLAY,0.239816,0.8%,-5.3%,-18.9%,82104951.0,737798251.0,0.0
USDD,USDD,1.0,0.1%,0.5%,0.5%,46436509.0,726079636.0,0.0
Curve DAO,CRV,0.933992,1.3%,-4.5%,-13.6%,83360723.0,705290397.0,3084490459.0
Gate,GT,4.91,0.3%,-5.0%,-6.2%,1247419.0,692012168.0,0.0
Chiliz,CHZ,0.127472,0.7%,-5.7%,-8.3%,107022404.0,680966723.0,1132665492.0
BitTorrent,BTT,7.11751e-07,0.5%,-0.7%,-3.2%,13559837.0,676763207.0,704204629.0
BitDAO,BIT,0.534773,0.7%,-6.3%,-10.2%,20866378.0,675056212.0,5138555226.0
PancakeSwap,CAKE,3.76,0.3%,-3.0%,-7.6%,33062564.0,673902103.0,2821277581.0
IOTA,MIOTA,0.224575,0.6%,-5.2%,-11.8%,20012064.0,624113599.0,0.0
eCash,XEC,3.233e-05,0.7%,-4.8%,-13.0%,8224776.0,623593298.0,677703978.0
cUSDC,CUSDC,0.02281848,0.2%,0.2%,0.4%,2.84,607087177.0,0.0
GMX,GMX,69.46,1.2%,-4.7%,-7.4%,44499015.0,591642086.0,920729454.0
Bitget Token,BGB,0.409369,-1.6%,-3.9%,4.8%,16175889.0,574609929.0,820870741.0
Gemini Dollar,GUSD,1.0,0.2%,0.3%,0.1%,665866.0,562776846.0,562776846.0
Optimism,OP,2.6,2.2%,-1.0%,-10.2%,295427712.0,559968409.0,11199368187.0
WhiteBIT Token,WBT,3.82,0.2%,-0.8%,-1.6%,1176133.0,553278059.0,1529022652.0
SingularityNET,AGIX,0.457579,2.8%,-10.5%,13.8%,225721556.0,547668788.0,909668323.0
cDAI,CDAI,0.02226826,0.2%,0.3%,0.4%,203.0,546276910.0,546276910.0
Edgecoin,EDGT,1.0,0.0%,0.3%,0.2%,40277868.0,526819268.0,1002962834661.0
Trust Wallet,TWT,1.25,0.9%,-2.9%,-12.3%,21688918.0,521374471.0,0.0
OKC,OKT,27.98,1.2%,-5.6%,-14.0%,9960041.0,500079990.0,1168138852.0
WEMIX,WEMIX,2.0,0.4%,-5.4%,-21.0%,7768619.0,492207622.0,1923372769.0
Tokenize Xchange,TKX,6.11,0.4%,-4.0%,-5.7%,8504677.0,489620197.0,612055850.0
Zcash,ZEC,39.89,1.0%,-7.5%,-16.6%,61507450.0,481124309.0,838580258.0
Arweave,AR,9.42,4.6%,-1.3%,-14.3%,78586523.0,474679597.0,625220315.0
Osmosis,OSMO,0.874509,0.4%,-3.2%,-14.3%,14444010.0,472589911.0,874745597.0
Casper Network,CSPR,0.04315932,-0.8%,5.0%,12.2%,22634711.0,466058892.0,497991791.0
Zilliqa,ZIL,0.02871097,0.8%,-5.7%,-19.2%,60188424.0,465211651.0,603190805.0
PAX Gold,PAXG,1839.8,0.1%,0.9%,1.3%,12701262.0,462363806.0,0.0
