Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Constellation,DAG,0.05951,0.2%,4.7%,-1.4%,566441.0,155887519.0,0.0
SXP,SXP,0.281464,0.3%,-1.9%,-3.3%,14404925.0,155544306.0,155544392.0
WAX,WAXP,0.066488,0.7%,-2.7%,-3.9%,12647288.0,155300866.0,250157918.0
Energy Web,EWT,3.39,-0.6%,-1.7%,-6.8%,1269660.0,154591828.0,339984501.0
SafeMoon,SFM,0.00027162,1.7%,-4.6%,-3.9%,672719.0,152602884.0,0.0
Telcoin,TEL,0.0021881,0.6%,-3.7%,-13.6%,1369310.0,148558813.0,0.0
Metis,METIS,33.93,-0.4%,0.5%,32.4%,13672637.0,147955828.0,339790787.0
Ocean Protocol,OCEAN,0.340126,0.4%,-8.1%,-5.1%,29801941.0,147678173.0,479754260.0
Nest Protocol,NEST,0.0247881,-0.0%,-0.2%,-0.2%,1196857.0,147391690.0,248599250.0
Agoric,BLD,0.443756,-0.5%,-0.8%,5.4%,663792.0,146359489.0,556308144.0
Secret,SCRT,0.749096,0.3%,-1.5%,-8.1%,2111856.0,145142916.0,0.0
ConstitutionDAO,PEOPLE,0.02818485,-0.6%,4.5%,1.0%,68532444.0,143117044.0,143117044.0
Hive,HIVE,0.385685,0.1%,-4.4%,-4.2%,6966691.0,143089100.0,0.0
Ribbon Finance,RBN,0.22651,-0.2%,-3.9%,-17.2%,411215.0,141626510.0,226717189.0
SKALE,SKL,0.03388414,0.5%,-5.3%,-5.2%,12786512.0,140638471.0,237077595.0
LUKSO,LYXE,9.1,-0.3%,1.5%,1.0%,1230496.0,140389043.0,911267113.0
UMA,UMA,1.99,0.3%,-2.1%,-0.1%,6679800.0,138127190.0,224505412.0
CoinEx,CET,0.04327619,0.1%,-0.2%,-5.7%,407908.0,137789441.0,433656955.0
Ecoin,ECOIN,0.00029488,-0.2%,-38.7%,-1.9%,19.99,136029967.0,0.0
Synapse,SYN,0.714499,0.4%,-7.1%,-17.1%,3585175.0,135737154.0,178491053.0
Illuvium,ILV,65.78,-0.1%,-2.4%,3.1%,10184376.0,134954811.0,657598817.0
STASIS EURO,EURS,1.08,0.1%,-0.9%,-0.9%,231172.0,134256631.0,134256631.0
Serum,SRM,0.356922,0.0%,-5.9%,-13.7%,8000224.0,133409448.0,3636367434.0
Horizen,ZEN,10.0,0.7%,-4.2%,-7.6%,17944667.0,133218008.0,210084383.0
Keep Network,KEEP,0.24103,0.8%,16.6%,23.0%,3905543.0,132998848.0,241940885.0
Shardus,ULT,0.298073,0.0%,-0.7%,-6.3%,4803.0,131075032.0,0.0
VVS Finance,VVS,4.02e-06,0.4%,-1.1%,-1.1%,508436.0,131037002.0,402157974.0
Lisk,LSK,0.911932,0.7%,-1.3%,-3.2%,3240396.0,130978223.0,0.0
Bitcoin Avalanche Bridged (BTC.b),BTC.B,22829.57,-0.1%,-1.3%,-0.7%,10658560.0,130972088.0,0.0
APENFT,NFT,4.67258e-07,0.1%,1.0%,-0.9%,9281815.0,129553486.0,467561453.0
Merit Circle,MC,0.371064,0.6%,-0.6%,4.9%,6361263.0,128879530.0,242931239.0
Tenset,10SET,0.7091,0.2%,0.5%,9.3%,136865.0,128743597.0,128743597.0
Frax Ether,FRXETH,1573.02,0.2%,-0.7%,-3.6%,152451.0,127837008.0,127838581.0
