Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Ethereum Name Service,ENS,15.84,-0.1%,4.7%,6.4%,65998725.0,407830921.0,1581767949.0
1inch,1INCH,0.512421,0.8%,0.3%,-4.8%,30274242.0,405977632.0,763766467.0
Loopring,LRC,0.324926,2.2%,-3.6%,12.3%,114589262.0,406100274.0,447988998.0
EthereumPoW,ETHW,3.75,0.9%,-0.4%,-7.7%,17611251.0,405040584.0,405039735.0
GALA,GALA,0.053294,0.4%,-4.6%,0.0%,279737357.0,401650564.0,2662583669.0
DeFiChain,DFI,0.599629,0.1%,-0.5%,11.2%,4041660.0,392631813.0,0.0
XDC Network,XDC,0.02807398,-0.6%,-4.0%,-1.3%,3875732.0,387081727.0,0.0
Kava,KAVA,0.967557,0.5%,-0.1%,-3.4%,28149137.0,382680722.0,0.0
Casper Network,CSPR,0.03511455,-0.1%,-1.6%,-1.7%,9578190.0,376954889.0,403349798.0
Stacks,STX,0.273491,0.5%,-1.6%,-6.2%,11798194.0,371394793.0,497010470.0
Basic Attention,BAT,0.24843,0.4%,-2.5%,-3.3%,34964223.0,370368443.0,372138073.0
Holo,HOT,0.00208054,0.4%,-0.5%,-0.1%,17205701.0,369280085.0,0.0
Helium,HNT,2.65,1.0%,-4.3%,-10.0%,3065318.0,363002257.0,589358443.0
Compound,COMP,52.56,0.2%,-1.4%,0.5%,19966788.0,360209164.0,525386024.0
dYdX,DYDX,2.36,0.3%,1.5%,34.4%,364103767.0,348061929.0,2353228359.0
Celo,CELO,0.710405,0.5%,-3.4%,-6.1%,21105817.0,342638954.0,709035686.0
Ravencoin,RVN,0.02819491,0.1%,-2.3%,-1.5%,15217736.0,335637420.0,0.0
Decred,DCR,22.57,0.4%,-0.8%,-5.0%,1187308.0,332057780.0,0.0
Theta Fuel,TFUEL,0.054778,-0.8%,3.3%,14.6%,52437547.0,328750894.0,0.0
STEPN,GMT,0.544255,0.8%,-3.2%,-8.9%,179622616.0,327465286.0,3274652860.0
NEM,XEM,0.03631996,0.4%,-3.7%,-5.4%,9849213.0,327202792.0,0.0
Kusama,KSM,35.1,0.6%,0.0%,-2.0%,22459665.0,315098527.0,350885397.0
Rocket Pool ETH,RETH,1678.14,0.1%,-0.8%,-3.8%,3770390.0,313583107.0,0.0
Bone ShibaSwap,BONE,1.31,0.5%,-2.2%,-5.1%,9232394.0,300587341.0,326826696.0
Everscale,EVER,0.167349,0.1%,53.8%,222.0%,19961957.0,294334894.0,0.0
Nexus Mutual,NXM,43.41,0.2%,-0.5%,-2.9%,3326.0,294001299.0,294001299.0
Gnosis,GNO,112.37,0.5%,2.4%,5.2%,3827459.0,291909237.0,338172471.0
Bitget Token,BGB,0.209168,-0.7%,-2.9%,1.0%,4179773.0,291782641.0,416832046.0
Bitcoin Gold,BTG,16.45,0.2%,-2.4%,-4.5%,8917309.0,288065256.0,0.0
WOO Network,WOO,0.175514,0.2%,-1.9%,-12.9%,18064059.0,287623788.0,394851649.0
Audius,AUDIO,0.285894,-0.8%,2.4%,38.0%,40633183.0,282452787.0,327771572.0
Olympus,OHM,10.1,0.2%,3.3%,3.1%,1731203.0,280357664.0,292938494.0
SafeMoon [OLD],SAFEMOON,6.37e-09,0.2%,0.9%,1.2%,89.25,171703441.0,0.0
Fetch.ai,FET,0.266401,-0.8%,-1.6%,-6.8%,41709890.0,277862381.0,307030256.0
Chia,XCH,43.28,0.3%,-4.8%,-5.2%,7943165.0,275693970.0,0.0
LINK,LN,40.52,-0.8%,-2.4%,-14.0%,950677.0,275554007.0,0.0
Qtum,QTUM,2.62,0.5%,-6.1%,0.5%,41382359.0,273821571.0,0.0
IoTeX,IOTX,0.02816944,0.2%,-2.0%,-2.0%,9922277.0,265465793.0,267183252.0
Oasis Network,ROSE,0.052735,0.3%,-3.1%,-4.6%,41764444.0,264876530.0,526660805.0
Magic,MAGIC,1.27,0.0%,-8.1%,2.1%,94581662.0,263035012.0,440259517.0
Kadena,KDA,1.21,-0.2%,-4.0%,-6.0%,13225895.0,262748476.0,1210454152.0
Amp,AMP,0.00467562,-0.1%,-0.2%,-6.0%,7094641.0,262291201.0,464722129.0
Balancer,BAL,6.63,0.0%,-1.8%,-4.5%,8147408.0,258946138.0,637238070.0
Band Protocol,BAND,2.1,-0.2%,7.6%,7.6%,109091099.0,256636723.0,275102745.0
Convex CRV,CVXCRV,0.888172,-0.1%,-2.4%,-6.0%,682091.0,256611944.0,0.0
Mask Network,MASK,3.76,1.4%,28.6%,16.5%,449629653.0,256519734.0,376128642.0
Harmony,ONE,0.02070272,0.3%,-9.2%,6.6%,52568377.0,254311445.0,271890851.0
Aleph Zero,AZERO,1.2,-0.5%,-2.5%,0.0%,1907854.0,254219166.0,0.0
Flux,FLUX,0.870356,-2.0%,-7.6%,29.6%,26679906.0,251046435.0,0.0
Waves,WAVES,2.47,1.2%,-3.3%,4.6%,73375916.0,247055244.0,247055244.0
Celsius Network,CEL,0.580504,1.1%,-4.4%,-9.7%,1848068.0,245897128.0,0.0
ECOMI,OMI,0.00090416,-0.1%,-1.9%,-3.3%,700719.0,244890560.0,679520321.0
